text,label,label_text,clean_text
I am still waiting on my card?,11,card_arrival,still wait card
What can I do if my card still hasn't arrived after 2 weeks?,11,card_arrival,card still not arrive week
I have been waiting over a week. Is the card still coming?,11,card_arrival,wait week card still come
Can I track my card while it is in the process of delivery?,11,card_arrival,track card process delivery
"How do I know if I will get my card, or if it is lost?",11,card_arrival,know get card lose
When did you send me my new card?,11,card_arrival,send new card
Do you have info about the card on delivery?,11,card_arrival,info card delivery
What do I do if I still have not received my new card?,11,card_arrival,still receive new card
Does the package with my card have tracking?,11,card_arrival,package card tracking
I ordered my card but it still isn't here,11,card_arrival,order card still not
Why has my new card still not come?,11,card_arrival,new card still come
"I still haven't received my card after two weeks, is it lost?",11,card_arrival,still not receive card two week lose
Can you track my card for me?,11,card_arrival,track card
Is there a way to track the delivery of my card?,11,card_arrival,way track delivery card
It's been a week since I ordered my card and it's not here. Please help?,11,card_arrival,week since order card please help
Will I be able to track the card that was sent to me?,11,card_arrival,able track card send
I don't have my card in 1 week.  Should I be worried?,11,card_arrival,not card week worry
How do I know when my new card is going to arrive?,11,card_arrival,know new card go arrive
My new card has not been delivered to my home yet. What is going on?,11,card_arrival,new card deliver home yet go
It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?,11,card_arrival,week since issue card still not get keep wait
"On the card that is coming, what's the tracking info?",11,card_arrival,card come tracking info
What is the status of my card's delivery?,11,card_arrival,status card delivery
Have you sent out my card yet?,11,card_arrival,send card yet
My card isn't here yet.,11,card_arrival,card not yet
where is my new card?,11,card_arrival,new card
It's been a week since you sent my card and I still don't have it.,11,card_arrival,week since send card still not
How do I track the card you sent me?,11,card_arrival,track card send
When will I recieve my new card?,11,card_arrival,recieve new card
When will I get my new card?,11,card_arrival,get new card
What is the expected delivery date for my card?,11,card_arrival,expect delivery date card
Is there a tracking number for the card you sent me?,11,card_arrival,tracking number card send
I would like to track the card you sent to me.,11,card_arrival,would like track card send
Has my card been lost in delivery?,11,card_arrival,card lose delivery
My new card hasn't came in.,11,card_arrival,new card not come
Where is the card I ordered 2 weeks ago?,11,card_arrival,card order week ago
Can I get an update on my replacement card?,11,card_arrival,get update replacement card
How long does it take for a new card to ship?,11,card_arrival,long take new card ship
What's the tracking on the card you sent?,11,card_arrival,tracking card send
I haven't received my card and am worried it is lost.,11,card_arrival,not receive card worried lose
My card still hasn't been delivered,11,card_arrival,card still not deliver
I need to find out where the card is that I ordered.,11,card_arrival,need find card order
Where is my credit card that was to be mailed?,11,card_arrival,credit card mail
I ordered my card but it hasn't been delivered yet,11,card_arrival,order card not deliver yet
Am I able to track the card that was just sent to me?,11,card_arrival,able track card send
Can you tell me why I haven't received my new card?,11,card_arrival,tell not receive new card
I'm still waiting for my new card.,11,card_arrival,still wait new card
Is my card lost? I am still waiting for it to be delivered.,11,card_arrival,card lose still wait deliver
Should I keep waiting for my card to be delivered?,11,card_arrival,keep wait card deliver
Can I track when my card will be delivered?,11,card_arrival,track card deliver
How can I check on the status of my new card?,11,card_arrival,check status new card
"A card has been sent to me, how do I track it?",11,card_arrival,card send track
Is there a way I can get my card expedited?,11,card_arrival,way get card expedite
What can I do to track the card you sent me?,11,card_arrival,track card send
why hasnt my card come in yet?,11,card_arrival,not card come yet
How can I periodically check the delivery of the card you sent?,11,card_arrival,periodically check delivery card send
What's the reason my new card hasn't come?,11,card_arrival,reason new card not come
How long does it take for me to get my new card?,11,card_arrival,long take get new card
I don't have my card after 1 week. What are my next steps?,11,card_arrival,not card week next step
