text,intent_label,clean_text
I am still waiting on my card?,card_arrival,still wait card
What can I do if my card still hasn't arrived after 2 weeks?,card_arrival,card still not arrive week
I have been waiting over a week. Is the card still coming?,card_arrival,wait week card still come
Can I track my card while it is in the process of delivery?,card_arrival,track card process delivery
"How do I know if I will get my card, or if it is lost?",card_arrival,know get card lose
When did you send me my new card?,card_arrival,send new card
Do you have info about the card on delivery?,card_arrival,info card delivery
What do I do if I still have not received my new card?,card_arrival,still receive new card
Does the package with my card have tracking?,card_arrival,package card tracking
I ordered my card but it still isn't here,card_arrival,order card still not
Why has my new card still not come?,card_arrival,new card still come
"I still haven't received my card after two weeks, is it lost?",card_arrival,still not receive card two week lose
Can you track my card for me?,card_arrival,track card
Is there a way to track the delivery of my card?,card_arrival,way track delivery card
It's been a week since I ordered my card and it's not here. Please help?,card_arrival,week since order card please help
Will I be able to track the card that was sent to me?,card_arrival,able track card send
I don't have my card in 1 week.  Should I be worried?,card_arrival,not card week worry
How do I know when my new card is going to arrive?,card_arrival,know new card go arrive
My new card has not been delivered to my home yet. What is going on?,card_arrival,new card deliver home yet go
It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?,card_arrival,week since issue card still not get keep wait
"On the card that is coming, what's the tracking info?",card_arrival,card come tracking info
What is the status of my card's delivery?,card_arrival,status card delivery
Have you sent out my card yet?,card_arrival,send card yet
My card isn't here yet.,card_arrival,card not yet
where is my new card?,card_arrival,new card
It's been a week since you sent my card and I still don't have it.,card_arrival,week since send card still not
How do I track the card you sent me?,card_arrival,track card send
When will I recieve my new card?,card_arrival,recieve new card
When will I get my new card?,card_arrival,get new card
What is the expected delivery date for my card?,card_arrival,expect delivery date card
Is there a tracking number for the card you sent me?,card_arrival,tracking number card send
I would like to track the card you sent to me.,card_arrival,would like track card send
Has my card been lost in delivery?,card_arrival,card lose delivery
My new card hasn't came in.,card_arrival,new card not come
Where is the card I ordered 2 weeks ago?,card_arrival,card order week ago
Can I get an update on my replacement card?,card_arrival,get update replacement card
How long does it take for a new card to ship?,card_arrival,long take new card ship
What's the tracking on the card you sent?,card_arrival,tracking card send
I haven't received my card and am worried it is lost.,card_arrival,not receive card worried lose
My card still hasn't been delivered,card_arrival,card still not deliver
I need to find out where the card is that I ordered.,card_arrival,need find card order
Where is my credit card that was to be mailed?,card_arrival,credit card mail
I ordered my card but it hasn't been delivered yet,card_arrival,order card not deliver yet
Am I able to track the card that was just sent to me?,card_arrival,able track card send
Can you tell me why I haven't received my new card?,card_arrival,tell not receive new card
I'm still waiting for my new card.,card_arrival,still wait new card
Is my card lost? I am still waiting for it to be delivered.,card_arrival,card lose still wait deliver
Should I keep waiting for my card to be delivered?,card_arrival,keep wait card deliver
Can I track when my card will be delivered?,card_arrival,track card deliver
How can I check on the status of my new card?,card_arrival,check status new card
"A card has been sent to me, how do I track it?",card_arrival,card send track
Is there a way I can get my card expedited?,card_arrival,way get card expedite
What can I do to track the card you sent me?,card_arrival,track card send
why hasnt my card come in yet?,card_arrival,not card come yet
How can I periodically check the delivery of the card you sent?,card_arrival,periodically check delivery card send
What's the reason my new card hasn't come?,card_arrival,reason new card not come
How long does it take for me to get my new card?,card_arrival,long take get new card
I don't have my card after 1 week. What are my next steps?,card_arrival,not card week next step
I know I'm getting a new card but would like know when I can expect to receive it.,card_arrival,know get new card would like know expect receive
I want to find out what happened to my new card?,card_arrival,want find happen new card
Was there a way for me to get tracking for that?,card_arrival,way get track
I am still waiting for my card.,card_arrival,still wait card
My card hasn't arrived.,card_arrival,card not arrive
Can I track the card you sent to me?,card_arrival,track card send
I haven't gotten my new card.,card_arrival,not get new card
How long should it take for my new card to arrive in them mail? What should I do if I never receive it?,card_arrival,long take new card arrive mail never receive
Will I have to wait much longer for my new card to arrive?,card_arrival,wait much long new card arrive
how to track the card you sent,card_arrival,track card send
2 weeks ago I ordered my new card.  It isn't here.  What should I do?,card_arrival,week ago order new card not
How can I check on the delivery status of my card?,card_arrival,check delivery status card
"My card has not been delivered yet and its been a week since I ordered it, please help",card_arrival,card deliver yet week since order please help
What's the expected wait time to recieve my new card?,card_arrival,expected wait time recieve new card
How can I see the progress of delivery of the card that was sent?,card_arrival,see progress delivery card send
"My card was supposed to arrive, but hasn't?",card_arrival,card suppose arrive not
I ordered a card and would like to know how to track the delivery progress of it.,card_arrival,order card would like know track delivery progress
How long will it take for me to get my card?,card_arrival,long take get card
My card hasn't shown up yet.,card_arrival,card not show yet
Does the card you sent have a tracking number?,card_arrival,card send tracking number
My card hasn't arrived in the mail yet. I ordered it two weeks ago. What can I do?,card_arrival,card not arrive mail yet order two week ago
maximum how many days get the courier?,card_arrival,maximum many day get courier
Is there a reason my new card hasn't arrived yet?,card_arrival,reason new card not arrive yet
"I've been waiting a while for my card, is there a way to know when it will arrive?",card_arrival,wait card way know arrive
How can I track my card's delivery?,card_arrival,track card delivery
Can I track the card that was just sent to me?,card_arrival,track card send
"If I ordered my new card last week, how much longer should I wait to receive it?",card_arrival,order new card last week much long wait receive
"What's go on, where is my new card?",card_arrival,go new card
Where is my new card if I haven't received it yet?,card_arrival,new card not receive yet
Where is my card?,card_arrival,card
Can you tell me why I haven't received my new card yet?,card_arrival,tell not receive new card yet
Is there a way to track my card?,card_arrival,way track card
Is there a way to track the new card you sent me?,card_arrival,way track new card send
I'm still waiting for my card.,card_arrival,still wait card
What do I need to do to get my new card which I have requested 2 weeks ago?,card_arrival,need get new card request week ago
WHAT IS THE SOLUTION OF THIS PROBLEM,card_arrival,solution problem
Could I get tracking on the card?,card_arrival,could get track card
Can you help me track my card?,card_arrival,help track card
Shouldn't my new card be here by now?,card_arrival,not new card
Is there a reason my new card hasn't arrived?,card_arrival,reason new card not arrive
"I would like to track a card sent to me, how do I do that?",card_arrival,would like track card send
Is there a tracking number for the card?,card_arrival,tracking number card
can you share card tracking number?,card_arrival,share card tracking number
"I have not received my card and it's been a week, what do I do?",card_arrival,receive card week
Is there a way I can check on the card on route to me?,card_arrival,way check card route
When will my new card arrive?,card_arrival,new card arrive
Why haven't I received my new card yet?,card_arrival,not receive new card yet
What is the expected delivery date of my card?,card_arrival,expect delivery date card
My card hasn't came in the mail yet?,card_arrival,card not come mail yet
I haven't received my card.,card_arrival,not receive card
Is it possible for me to track the card is was mailed to me?,card_arrival,possible track card mail
When will my new card be delivered?,card_arrival,new card deliver
I was issued a card about a week ago. why hasn't it come in yet?,card_arrival,issue card week ago not come yet
Can you please tell me where my card is? I ordered it 2 weeks ago!,card_arrival,please tell card order week ago
